star prot_5 height_5 tau_5 quality_5 prot_10 height_10 tau_10 quality_10 prot_30 height_30 tau_30 quality_30 prot_50 height_50 tau_50 quality_50 prot_100 height_100 tau_100 quality_100 
0 0.552 0.078 1.18e-01 0.152 4.906 0.058 2.81e-01 0.071 5.621 0.022 5.65e-01 0.225 5.601 0.024 5.62e-01 0.135 7.297 0.024 7.04e-01 0.111 
1 1.840 0.939 3.00e+00 0.013 1.819 0.654 1.94e+00 0.047 1.799 0.523 7.89e-01 0.045 1.799 0.491 3.38e-01 0.029 1.799 0.444 3.09e-01 0.019 
2 nan -inf nan nan nan -inf nan nan 21.482 0.448 8.76e+00 0.011 36.076 0.216 1.04e+01 0.039 87.155 0.535 3.23e+01 0.033 
3 4.006 0.132 2.15e-01 0.052 6.479 0.121 5.16e-01 0.050 18.273 0.024 4.00e+00 1.620 43.026 1.363 8.01e+01 0.004 43.741 1.284 9.60e+01 0.002 
4 0.593 0.113 1.54e-01 0.080 0.593 0.152 1.27e-01 0.042 0.593 0.248 1.03e-01 0.030 0.593 0.236 9.53e-02 0.040 32.438 0.032 3.41e+00 0.563 
5 3.597 0.179 1.99e-01 0.032 9.321 0.237 6.14e-01 0.039 23.465 0.976 2.37e+01 0.006 24.160 0.724 2.35e+01 0.005 23.853 0.478 1.37e+01 0.033 
6 4.170 0.406 1.44e+00 0.028 8.523 0.417 3.06e+00 0.023 nan -inf nan nan 34.870 0.825 2.71e+01 0.005 36.771 0.431 1.90e+01 0.012 
7 4.047 0.198 1.98e-01 0.028 nan -inf nan nan 18.989 0.132 2.45e+00 0.051 9.872 0.040 1.65e+00 0.304 42.229 0.076 7.19e+00 0.166 
8 2.514 0.057 2.42e-01 0.085 nan -inf nan nan 25.652 1.294 4.46e+01 0.005 26.081 1.273 5.36e+01 0.003 25.918 1.139 4.11e+01 0.006 
9 3.986 0.384 1.33e+00 0.027 8.544 0.385 2.68e+00 0.031 nan -inf nan nan 45.008 0.304 7.00e+00 0.041 32.397 0.122 6.12e+00 0.204 
10 nan -inf nan nan nan -inf nan nan nan -inf nan nan 34.973 1.060 3.81e+01 0.004 35.749 0.622 2.84e+01 0.010 
11 0.572 0.093 1.30e-01 0.119 0.552 0.159 5.52e-01 0.121 14.471 0.260 3.55e+00 0.040 14.471 0.202 2.42e+00 0.024 14.471 0.175 1.71e+00 0.015 
12 3.536 0.407 1.29e+00 0.017 6.357 0.156 1.92e+00 0.032 7.236 0.070 1.28e+00 0.433 41.943 0.397 9.26e+00 0.036 27.778 0.060 4.12e+00 0.357 
13 nan -inf nan nan 9.055 0.368 2.56e+00 0.033 nan -inf nan nan 46.398 1.716 2.12e+02 0.001 46.521 1.689 3.32e+02 0.003 
14 3.332 0.098 3.09e-01 0.064 nan -inf nan nan 14.206 0.752 1.27e+01 0.006 14.165 0.673 1.08e+01 0.008 14.124 0.520 6.30e+00 0.033 
15 3.597 0.466 1.21e+00 0.035 3.720 0.119 8.91e-01 0.082 14.860 0.268 5.49e+00 0.054 14.737 0.123 3.02e+00 0.150 29.495 0.106 4.97e+00 0.196 
16 0.531 0.131 9.38e-02 0.134 nan -inf nan nan 17.456 0.980 2.28e+01 0.005 17.640 0.913 1.77e+01 0.023 17.456 0.758 1.24e+01 0.038 
17 0.572 0.098 1.39e-01 0.101 0.552 0.185 5.52e-01 0.105 24.405 0.697 1.40e+01 0.016 24.426 0.427 1.38e+01 0.018 22.893 0.233 4.90e+00 0.098 
18 2.616 0.368 1.40e+00 0.007 2.432 0.153 6.50e-01 0.092 4.987 0.046 7.43e-01 0.184 10.527 0.100 1.55e+00 0.047 10.506 0.106 1.51e+00 0.025 
19 4.006 0.412 1.46e+00 0.022 nan -inf nan nan nan -inf nan nan 39.755 0.421 1.54e+01 0.016 33.542 0.055 7.06e+00 0.460 
20 0.572 0.209 1.08e-01 0.111 nan -inf nan nan 10.138 0.167 5.09e+00 0.073 9.423 0.120 1.88e+00 0.136 8.953 0.188 1.41e+00 0.086 
21 0.572 0.100 1.26e-01 0.119 6.377 0.094 3.96e-01 0.098 10.608 0.147 2.14e+00 0.034 10.588 0.147 1.74e+00 0.028 10.588 0.161 1.50e+00 0.037 
22 3.965 0.244 3.03e-01 0.040 nan -inf nan nan 20.522 0.556 1.21e+01 0.031 41.002 1.219 6.17e+01 0.023 41.227 1.124 8.89e+01 0.015 
23 3.291 0.901 3.05e+00 0.012 3.270 0.495 2.40e+00 0.043 3.127 0.332 5.49e-01 0.058 3.127 0.325 5.20e-01 0.036 3.148 0.318 5.13e-01 0.021 
24 0.552 0.100 1.09e-01 0.143 5.417 0.021 8.09e-01 1.128 12.652 1.138 2.60e+01 0.008 12.652 1.098 3.18e+01 0.008 12.652 1.043 3.69e+01 0.010 
25 nan -inf nan nan nan -inf nan nan 20.644 1.481 5.80e+01 0.006 20.644 1.419 7.74e+01 0.006 20.583 1.351 1.05e+02 0.007 
26 0.531 0.114 9.93e-02 0.143 nan -inf nan nan 11.978 0.143 2.91e+00 0.296 34.911 1.036 3.43e+01 0.029 34.891 0.826 3.54e+01 0.049 
27 nan -inf nan nan nan -inf nan nan 11.528 0.377 5.65e+00 0.014 11.487 0.323 4.50e+00 0.012 11.038 0.279 2.23e+00 0.038 
28 0.552 0.128 1.05e-01 0.135 0.552 0.232 5.52e-01 0.121 14.410 0.436 7.31e+00 0.017 14.001 0.400 6.22e+00 0.013 14.001 0.356 3.83e+00 0.016 
29 0.552 0.109 1.07e-01 0.145 7.072 0.110 3.38e-01 0.041 nan -inf nan nan 35.054 0.792 2.48e+01 0.020 33.971 0.611 2.58e+01 0.022 
30 nan -inf nan nan 7.685 0.332 2.49e+00 0.017 21.400 1.040 2.31e+01 0.004 21.523 0.634 1.79e+01 0.010 21.237 0.442 1.16e+01 0.047 
31 0.552 0.150 1.17e-01 0.092 7.931 0.193 5.09e-01 0.061 18.825 0.084 3.60e+00 0.433 29.903 0.778 2.51e+01 0.024 30.435 0.660 2.80e+01 0.029 
32 nan -inf nan nan 7.685 0.205 2.22e+00 0.049 20.317 1.373 3.76e+01 0.003 20.624 1.114 3.47e+01 0.003 20.583 1.023 3.73e+01 0.006 
33 nan -inf nan nan 7.563 0.186 1.01e+00 0.042 19.050 0.832 1.51e+01 0.005 19.581 0.480 1.27e+01 0.008 18.600 0.377 6.19e+00 0.044 
34 4.190 0.252 2.49e-01 0.033 6.459 0.080 5.34e-01 0.082 14.185 0.072 3.31e+00 0.227 34.523 0.576 1.64e+01 0.015 80.472 0.536 7.09e+00 0.040 
35 4.149 0.214 2.10e-01 0.031 8.094 0.195 4.18e-01 0.031 nan -inf nan nan nan -inf nan nan 54.370 0.780 5.20e+01 0.007 
36 1.880 0.586 1.26e+00 0.009 1.860 0.519 1.02e+00 0.012 1.840 0.425 5.31e-01 0.020 1.840 0.348 3.30e-01 0.051 1.840 0.284 2.88e-01 0.061 
37 4.374 0.199 2.55e-01 0.036 8.850 0.393 3.29e+00 0.016 19.091 0.620 1.52e+01 0.012 20.767 0.400 1.14e+01 0.046 20.154 0.343 1.01e+01 0.034 
38 2.596 1.688 1.59e+01 0.001 2.596 1.639 2.20e+01 0.002 2.596 1.501 2.33e+01 0.003 2.596 1.373 2.06e+01 0.004 2.596 1.109 1.56e+01 0.019 
39 0.613 0.084 1.50e-01 0.118 0.593 0.245 9.95e-02 0.094 13.122 0.788 1.46e+01 0.016 13.102 0.694 1.63e+01 0.024 12.448 0.541 5.85e+00 0.038 
40 0.552 0.088 1.40e-01 0.097 0.531 0.145 5.31e-01 0.113 nan -inf nan nan 31.866 0.585 1.55e+01 0.023 31.845 0.310 1.12e+01 0.024 
41 nan -inf nan nan 5.049 0.123 1.38e+00 0.057 nan -inf nan nan 31.763 1.369 8.06e+01 0.006 31.886 1.348 1.12e+02 0.006 
42 nan -inf nan nan nan -inf nan nan nan -inf nan nan 45.029 0.427 1.32e+01 0.024 47.359 0.299 1.63e+01 0.019 
43 nan -inf nan nan nan -inf nan nan 11.937 1.485 5.79e+01 0.003 11.937 1.377 6.67e+01 0.006 11.937 1.190 6.87e+01 0.017 
44 4.211 0.332 1.20e+00 0.031 8.380 0.366 3.13e+00 0.012 17.210 0.803 1.74e+01 0.007 17.108 0.484 1.13e+01 0.034 16.597 0.343 3.68e+00 0.067 
45 4.211 0.127 4.36e-01 0.071 nan -inf nan nan 14.921 1.138 2.73e+01 0.002 14.921 0.945 2.37e+01 0.008 14.574 0.772 1.90e+01 0.018 
46 nan -inf nan nan nan -inf nan nan 24.139 1.190 3.61e+01 0.006 25.713 0.941 3.24e+01 0.003 25.713 0.791 2.82e+01 0.005 
47 4.354 0.227 2.26e-01 0.031 nan -inf nan nan 13.552 0.728 1.50e+01 0.016 13.204 0.457 7.94e+00 0.051 12.162 0.325 2.08e+00 0.118 
48 0.572 0.090 1.32e-01 0.113 0.552 0.177 5.52e-01 0.118 21.114 0.128 1.64e+00 0.094 28.227 0.235 7.04e+00 0.039 28.227 0.130 4.85e+00 0.040 
49 3.822 0.393 1.41e+00 0.017 8.115 0.341 2.42e+00 0.026 nan -inf nan nan 36.669 1.121 4.62e+01 0.003 37.262 0.727 4.10e+01 0.015 
50 4.415 0.241 3.00e-01 0.037 nan -inf nan nan nan -inf nan nan 32.295 0.746 2.58e+01 0.012 32.193 0.554 2.13e+01 0.023 
