star pmax prot height tau quality
0 1 0.695 0.133 0.021 4.62
0 3 nan -inf nan nan
0 5 nan -inf nan nan
0 10 10.036 0.046 0.673 20.56
0 30 32.152 0.038 1.580 9.73
0 50 nan -inf nan nan
0 100 106.778 0.039 5.824 20.06
1 1 0.143 0.062 0.028 2.51
1 3 1.840 0.742 6.001 1970.45
1 5 1.840 0.598 5.654 959.11
1 10 1.758 0.298 2.573 45.75
1 30 4.640 0.041 0.805 1.45
1 50 9.402 0.180 8.782 132.74
1 100 60.052 0.059 20.359 46.65
2 1 0.675 0.121 0.023 4.51
2 3 nan -inf nan nan
2 5 6.071 0.073 1.970 47.63
2 10 9.341 0.182 4.408 71.73
2 30 21.421 0.236 8.729 31.56
2 50 36.015 0.174 12.190 16.01
2 100 86.644 0.395 68.131 37.25
3 1 0.675 0.138 0.317 16.64
3 3 2.412 0.046 0.121 8.36
3 5 4.885 0.053 0.277 11.36
3 10 nan -inf nan nan
3 30 44.109 0.437 83.988 113.10
3 50 42.944 1.085 164.926 5163.13
3 100 43.394 1.050 118.981 468.27
4 1 0.613 0.137 0.022 5.25
4 3 nan -inf nan nan
4 5 nan -inf nan nan
4 10 nan -inf nan nan
4 30 nan -inf nan nan
4 50 55.821 0.049 31.918 164.60
4 100 61.401 0.122 41.248 315.07
5 1 0.123 0.041 0.032 8.95
5 3 nan -inf nan nan
5 5 nan -inf nan nan
5 10 10.424 0.066 3.827 85.19
5 30 23.772 0.650 30.657 612.17
5 50 24.610 0.573 31.267 115.92
5 100 23.690 0.305 13.207 20.30
6 1 0.818 0.304 0.362 41.98
6 3 2.698 0.317 1.042 28.90
6 5 4.272 0.318 1.779 45.18
6 10 8.687 0.239 4.129 46.99
6 30 37.037 0.488 18.233 11.67
6 50 34.891 0.639 33.725 376.44
6 100 36.240 0.357 21.218 37.14
7 1 0.695 0.128 0.000 0.02
7 3 nan -inf nan nan
7 5 nan -inf nan nan
7 10 9.586 0.096 4.605 162.12
7 30 29.474 0.088 1.882 5.13
7 50 41.248 0.118 16.090 45.68
7 100 99.746 0.180 63.006 44.02
8 1 0.613 0.141 0.022 5.41
8 3 2.535 0.045 0.116 7.87
8 5 nan -inf nan nan
8 10 9.770 0.117 4.325 180.86
8 30 25.509 1.017 65.187 844.70
8 50 26.081 1.078 46.380 606.48
8 100 26.224 0.800 42.412 719.00
9 1 0.797 0.138 0.033 3.76
9 3 2.514 0.187 0.944 47.89
9 5 4.108 0.142 1.703 42.03
9 10 8.830 0.196 4.109 39.93
9 30 26.837 0.219 10.746 21.01
9 50 44.538 0.177 15.160 17.20
9 100 80.451 0.213 34.517 30.90
10 1 0.123 0.042 0.029 7.27
10 3 2.412 0.099 0.756 46.01
10 5 4.579 0.112 1.481 51.00
10 10 11.508 0.157 1.012 7.32
10 30 33.460 0.542 44.937 316.82
10 50 35.340 0.790 48.256 1174.67
10 100 35.933 0.502 31.402 92.57
11 1 0.695 0.133 0.022 4.43
11 3 nan -inf nan nan
