,KOI,feh,feh_errm,feh_errp,logg,logg_errm,logg_errp,period,period_errm,period_errp,teff,teff_errm,teff_errp
0,1,-0.12,-0.28,0.33,4.609,-0.106,0.027000000000000003,24.848729276796504,5.996906492905282,23.2400027139823,5126.0,-138.0,160.0
1,2,-0.15,-0.1,0.1,4.455,-0.025,0.025,19.595792410839543,3.779433964526012,3.951450010595021,5850.0,-50.0,50.0
2,3,0.26,-0.08,0.08,4.021,-0.011000000000000001,0.011000000000000001,28.159582321209886,0.19365519305251766,2.6563317290307147,6350.0,-80.0,80.0
3,6,-0.04,-0.16,0.12,4.169,-0.048,0.055,22.765453970165105,15.40089138734773,3.1235559896597245,6225.0,-158.0,114.0
4,7,0.44,-0.101,0.101,4.081,-0.013999999999999999,0.013999999999999999,25.310086976459807,1.6857853602695414,1.9684501544454847,5543.0,-79.0,79.0
5,8,0.48,-0.16,0.08,4.466,-0.14400000000000002,0.04,15.324677548689316,0.1025483515100234,0.09756487047183882,5520.0,-110.0,83.0
6,10,-0.3,-0.26,0.34,4.563,-0.276,0.035,7.457770264339089,0.2387427843613814,0.2597176453891379,5588.0,-141.0,167.0
7,17,-0.02,-0.3,0.2,4.457,-0.282,0.045,18.289422970071904,1.1545305832937984,2.744440245587949,6117.0,-210.0,156.0
8,18,-0.22,-0.3,0.24,4.226,-0.287,0.166,24.139740460897315,4.380763261910197,12.323307400968687,6391.0,-204.0,157.0
9,20,-0.16,-0.14,0.16,4.388,-0.142,0.087,29.586261732724083,5.858291004443551,12.963334937691343,5881.0,-120.0,112.0
10,22,0.21,-0.17,0.11,4.556,-0.094,0.013999999999999999,44.47544681160929,11.975377825345213,29.28450853238006,5485.0,-112.0,99.0
11,41,0.27,-0.101,0.101,4.192,-0.019,0.019,25.77849181017753,0.5847121258253658,0.8400537124257887,5851.0,-75.0,75.0
12,42,-0.08,-0.28,0.32,4.574,-0.054000000000000006,0.043,20.84596144325112,0.15507355228361064,0.1688174063567267,4861.0,-128.0,150.0
13,46,0.36,-0.16,0.08,4.558,-0.042,0.013999999999999999,21.776611262712855,2.605489484235992,3.8786448273816276,5325.0,-98.0,107.0
14,49,0.1,-0.28,0.18,4.495,-0.297,0.038,8.739630766286853,0.03655960436774741,0.03501687827237632,5858.0,-193.0,165.0
15,63,-0.04,-0.28,0.3,4.6080000000000005,-0.077,0.027999999999999997,5.491149209285947,0.020272374412646954,0.01986945344177027,4980.0,-132.0,153.0
16,64,0.1,-0.26,0.26,4.499,-0.605,0.07400000000000001,2.2307667044969053,0.0035076240531743963,0.00350584166607959,5015.0,-128.0,169.0
17,69,0.03,-0.101,0.101,4.1819999999999995,-0.016,0.016,29.62592537150072,0.6215325755696242,1.2850938984463802,5747.0,-85.0,85.0
18,70,-0.02,-0.26,0.3,4.46,-0.325,0.09699999999999999,27.916229614529637,0.442644473661737,0.46998805110628084,5257.0,-146.0,184.0
19,72,0.21,-0.23,0.19,4.585,-0.182,0.019,48.55730332333109,10.634052985974137,1.9352880603462026,5228.0,-143.0,176.0
20,75,0.31,-0.109,0.109,3.9,-0.035,0.035,25.283808322017173,2.672123291179709,3.4129681677935615,5854.0,-92.0,92.0
21,82,-0.2,-0.26,0.3,4.574,-0.231,0.03,26.552834288288125,0.17354957132375404,0.1720993167412601,5565.0,-152.0,161.0
22,84,-0.02,-0.28,0.23,4.488,-0.285,0.05,20.230406684740505,0.6333635509678643,0.7831534266018814,5739.0,-164.0,163.0
23,85,0.14,-0.26,0.24,4.567,-0.16,0.024,7.897235577943246,0.04738870740858392,0.045089912456217185,5202.0,-133.0,172.0
24,87,-0.08,-0.101,0.101,4.212,-0.015,0.015,25.21536369563168,0.3426606436765667,0.32744294402610663,5952.0,-75.0,75.0
25,92,0.3,-0.101,0.101,4.171,-0.013999999999999999,0.013999999999999999,16.381779637934542,0.13478000345534014,0.1379320254924572,5699.0,-74.0,74.0
26,94,-0.08,-0.12,0.16,4.5,-0.04,0.043,21.861418865157674,0.6202976982705302,0.7461971607042059,5332.0,-98.0,102.0
27,97,-0.18,-0.16,0.16,3.938,-0.12,0.218,15.886479000647768,0.4358790964112327,0.41678949582194846,5887.0,-120.0,114.0
28,98,0.48,-0.14,0.08,4.564,-0.087,0.013000000000000001,2.7531393865280096,0.03750943970758147,0.04038166936079124,5130.0,-105.0,97.0
29,99,-0.16,-0.28,0.28,4.35,-0.239,0.129,25.844320140476796,3.8220708699722756,3.1019037827079288,5883.0,-183.0,173.0
30,102,-0.08,-0.26,0.28,4.555,-0.282,0.028999999999999998,18.76799568564764,0.8019040705283693,4.923375476398057,5552.0,-145.0,166.0
31,103,0.07,-0.31,0.17,4.501,-0.303,0.038,22.97062037162349,0.17666065531293285,0.18726357152737805,5936.0,-229.0,178.0
32,105,0.36,-0.15,0.08,4.497,-0.11599999999999999,0.023,19.718970531257234,2.7281089196964814,4.4464978916649045,5705.0,-145.0,107.0
33,107,-0.22,-0.28,0.28,4.533,-0.28800000000000003,0.031,17.417739191859447,0.23590009901126763,0.25518451647270624,5941.0,-175.0,166.0
34,108,-0.12,-0.34,0.22,4.381,-0.282,0.067,21.657086422190364,0.4409020976716711,0.43936907929076696,6505.0,-251.0,169.0
35,110,0.36,-0.15,0.08,4.459,-0.145,0.048,21.634376066369448,2.607340761525297,3.01910420769304,5514.0,-109.0,89.0
36,111,0.07,-0.19,0.14,3.0660000000000003,-0.027999999999999997,0.032,18.031474174095006,2.5006514576800853,14.14403178199574,5047.0,-142.0,60.0
37,112,-0.32,-0.3,0.24,4.232,-0.27,0.163,15.72796540134205,0.454851784044779,0.5650669343281969,6449.0,-210.0,163.0
38,113,0.21,-0.14,0.11,4.529,-0.141,0.016,22.504942371367786,2.2988368520085523,3.1562269475501914,5676.0,-117.0,100.0
39,115,0.22,-0.15,0.1,4.361000000000001,-0.16,0.07400000000000001,16.34334361670993,0.19750050709679456,0.2257161762659159,5906.0,-127.0,98.0
40,116,0.02,-0.14,0.16,3.958,-0.135,0.205,22.50717304033306,2.595477742389299,5.063533251299649,5611.0,-98.0,110.0
41,117,-0.13,-0.101,0.101,4.001,-0.011000000000000001,0.011000000000000001,22.353777698599924,2.1803779513266477,4.17619710341129,6253.0,-75.0,75.0
42,118,-0.15,-0.06,0.06,4.026,-0.006,0.006,20.599051705554913,1.9650001787203593,2.5858019965644132,6131.0,-44.0,44.0
