# Title: Stellar Rotation Periods of the Kepler Objects of Interest: A Dearth of Close-in Planets around Fast Rotators
# Authors: A. McQuillan, T. Mazeh and S. Aigrain
#
# Table 1. Stellar rotation periods for the KOIs.
#
# koi_id - KOI number
# keplerid - KIC number
# teff - KIC effective temperature (K)
# logg - KIC surface gravity (dex)
# R_pl - Planet Radius (R_earth) from the NASA Exoplanet Archive (NEA)
# P_orb - Planet orbital period (days) from the NASA Exoplanet Archive (NEA)
# P_rot - Stellar rotation period (days)
# P_rot_err - Uncertainty on P_rot
# R_var - amplitude of periodic variablity (mmags)
# Flag - N - KIC values missing so NEA values used; G - likely giant;  E - published EB; 
# ... B - published blend; T - likely eclipsing binary identified in this work; 
# ... C - centroid motion shows transit and rotation modulation on different stars.
#
#
koi_id,keplerid,teff,logg,R_pl,P_orb,P_rot,P_rot_err,R_var,Flag
3,10748390,4766,4.59,4.68,4.888,29.472,0.134,11.75,N
12,5812701,6419,4.26,13.40,17.855,1.245,0.124,0.78,-
41,6521045,5909,4.28,1.24,6.887,24.988,2.192,0.39,-
42,8866102,6170,4.10,2.71,17.834,20.850,0.007,1.12,-
44,8845026,6250,3.50,9.61,66.468,3.792,0.907,1.16,-
49,9527334,6000,4.50,3.24,8.314,8.552,0.005,15.81,-
51,6056992,3240,4.90,12.50,10.431,7.536,0.014,7.24,N
63,11554435,5721,4.71,6.31,9.434,5.407,0.001,17.82,-
82,10187017,4908,4.70,0.54,5.287,26.572,0.153,3.87,-
85,5866724,6006,4.07,1.27,2.155,7.911,0.155,0.28,-
92,7941200,5850,4.28,3.32,65.705,16.199,1.592,0.97,-
100,4055765,6440,3.69,19.00,9.966,1.131,0.000,0.85,-
103,2444412,5531,4.40,2.95,14.911,23.156,0.155,2.73,-
107,11250587,5816,4.46,3.10,7.257,17.332,0.133,0.64,-
115,9579641,6202,4.25,0.64,3.436,16.846,0.150,0.54,-
135,9818381,5953,4.51,10.56,3.024,12.851,0.053,2.86,E
139,8559644,5921,4.56,1.49,3.342,16.957,0.105,1.14,-
142,5446285,5361,4.68,4.08,10.916,30.689,0.383,1.40,-
156,10925104,4450,4.54,1.18,5.189,34.549,0.120,3.94,-
165,9527915,4956,4.76,2.74,13.222,32.208,0.174,1.30,-
180,9573539,5680,4.66,2.53,10.046,15.757,0.011,11.18,-
183,9651668,5722,4.71,12.40,2.684,22.047,0.121,2.79,-
188,5357901,5087,4.73,8.30,3.797,36.955,6.190,1.92,-
190,5771719,5425,4.22,17.20,12.265,16.711,0.020,9.90,E
197,2987027,4907,4.38,7.30,17.276,35.208,5.097,2.89,-
202,7877496,5912,4.44,11.20,1.721,17.343,1.751,2.38,-
203,10619192,5634,4.49,14.82,1.486,12.159,0.029,25.73,-
208,3762468,6094,4.58,11.30,3.004,3.054,0.001,12.36,-
212,6300348,5843,4.54,6.40,5.696,16.295,0.336,3.76,-
216,6152974,5086,4.31,1.30,7.519,27.678,0.035,5.30,-
217,9595827,5504,4.72,11.70,3.905,19.768,0.096,9.94,-
219,6305192,5347,4.73,5.00,8.025,8.985,0.186,2.14,-
225,5801571,6037,4.55,50.00,0.839,15.192,0.014,2.20,E
227,6185476,4633,5.26,2.94,17.660,16.504,0.024,5.10,-
237,8041216,5679,4.53,2.40,8.508,23.301,0.348,1.46,-
242,3642741,5437,4.51,5.10,7.258,12.647,0.040,7.01,-
244,4349452,6500,4.50,3.40,6.239,23.147,0.039,0.34,-
247,11852982,3725,4.81,1.94,13.815,16.367,0.011,9.36,-
248,5364071,3903,4.74,1.84,2.577,18.507,0.009,6.90,-
249,9390653,3514,4.89,1.94,9.549,46.351,0.340,4.96,-
250,9757613,3853,4.81,1.13,3.544,17.918,0.005,6.34,-
251,10489206,3743,4.76,2.59,4.164,14.536,0.004,16.25,-
252,11187837,3770,4.77,3.16,17.604,40.333,0.095,9.41,-
253,11752906,3919,4.69,2.34,6.383,37.125,0.755,8.45,-
254,5794240,3837,4.71,9.85,2.455,15.805,0.002,21.86,-
256,11548140,3410,4.90,24.00,1.379,1.379,0.000,47.74,E
257,5514383,6023,4.10,2.61,6.883,7.860,0.047,1.39,-
261,5383248,5692,4.40,2.65,16.238,14.922,0.083,3.23,-
262,11807274,6143,4.24,2.20,7.813,7.553,0.755,0.44,-
268,3425851,6500,4.50,1.73,110.379,7.873,0.001,0.33,-
269,7670943,6258,4.12,1.47,18.011,5.274,0.033,0.18,-
271,9451706,6089,4.47,1.41,14.436,10.117,0.213,0.54,-
279,12314973,6152,4.27,2.22,15.413,20.796,0.016,0.76,-
283,5695396,5687,4.40,0.84,25.517,17.523,0.127,2.06,-
288,9592705,6000,4.00,3.12,10.275,13.380,0.099,0.42,-
294,11259686,5861,4.46,2.30,34.436,12.103,0.249,0.88,-
295,11547513,6250,4.50,2.26,5.317,15.720,1.388,0.93,-
297,11905011,6050,4.27,1.65,5.652,8.291,0.185,0.50,-
299,2692377,5538,4.30,1.98,1.542,22.965,0.049,3.93,-
302,3662838,6711,4.15,5.00,24.855,5.494,0.000,0.74,-
304,6029239,5885,3.98,1.16,5.518,16.503,0.286,2.05,-
305,6063220,4782,4.60,1.57,4.604,29.546,4.762,4.37,-
306,6071903,5120,4.16,2.29,24.308,17.825,0.023,13.10,-
314,7603200,3750,4.50,0.79,10.312,19.394,0.013,4.45,-
315,7700622,4711,4.17,2.14,35.589,31.433,3.591,2.31,-
318,8156120,6366,4.25,5.19,38.583,4.919,0.007,2.76,-
319,8684730,6000,4.00,7.50,46.152,19.654,0.151,0.51,-
323,9139084,5403,4.26,2.17,5.836,7.643,0.006,14.72,-
326,9880467,4746,2.54,36.20,8.974,16.953,0.012,18.74,G
327,9881662,6144,4.46,1.53,3.254,24.517,0.228,0.82,-
333,10337258,6310,4.45,2.50,13.285,6.886,0.176,1.79,-
338,10552611,4910,4.18,17.50,3.108,30.772,6.044,2.38,-
339,10587105,6013,4.69,1.85,1.980,27.584,3.939,0.83,-
340,10616571,5544,3.86,16.80,23.673,12.942,0.018,26.75,E
341,10878263,5425,4.33,1.58,4.700,18.554,0.048,13.73,-
344,11015108,5715,4.34,3.80,39.309,24.150,0.455,1.41,-
345,11074541,4794,4.10,2.72,29.886,35.053,0.221,6.02,-
346,11100383,4962,4.39,2.40,12.925,15.148,0.022,14.62,-
348,11194032,4667,4.20,2.94,28.511,37.088,7.636,4.61,-
350,11395587,5775,4.37,2.40,12.992,19.673,1.839,1.98,-
354,11568987,5941,3.90,1.22,7.379,13.112,2.336,1.78,-
355,11621223,6062,4.47,2.35,4.903,10.394,1.346,0.61,-
361,12404954,5706,4.56,1.53,3.248,24.497,3.484,2.02,-
367,4815520,6046,4.33,4.98,31.579,23.373,2.254,1.06,-
372,6471021,5638,4.50,8.52,125.631,11.769,0.016,9.61,-
377,3323887,5722,4.78,1.67,1.593,16.746,0.077,4.72,-
386,3656121,5969,4.38,3.40,31.159,13.813,0.423,1.56,-
387,3733628,4750,4.50,2.18,13.900,20.312,0.024,16.38,-
398,9946525,5101,4.54,1.65,1.729,29.205,0.103,7.81,-
408,5351250,5631,4.49,1.30,3.428,17.558,0.030,10.86,-
413,5791986,5236,4.56,2.80,15.229,22.801,0.036,6.67,-
417,6879865,5635,4.59,12.00,19.193,11.993,0.003,4.67,-
419,8219673,5723,4.70,33.00,20.132,18.856,2.172,2.27,E
421,9115800,5181,4.32,11.10,4.454,31.610,3.058,3.17,-
423,9478990,5992,4.45,9.80,21.087,4.464,0.013,3.28,-
425,9967884,5689,4.54,11.30,5.428,5.301,0.177,9.31,B
427,10189546,5293,4.50,4.20,24.615,26.280,0.216,4.33,-
429,10616679,5093,4.49,4.20,8.600,22.786,0.184,5.42,-
430,10717241,4124,4.58,0.77,9.340,16.064,0.010,6.81,-
432,10858832,5830,4.46,3.50,5.263,18.577,0.150,3.00,-
438,12302530,4351,4.59,1.90,5.931,26.762,0.021,9.75,-
444,3847138,5732,4.52,2.20,11.723,26.398,3.668,1.61,-
446,4633570,4492,4.60,1.86,16.709,31.299,1.096,2.36,-
448,5640085,4264,4.55,2.21,10.140,10.466,0.004,15.23,-
457,7440748,4931,4.65,1.84,4.921,27.885,0.317,7.95,-
463,8845205,3504,4.92,2.42,18.478,49.930,0.301,10.95,-
464,8890783,5362,4.46,2.50,5.350,26.336,0.121,4.36,-
466,9008220,5907,4.90,8.00,9.391,14.852,0.019,10.18,-
470,9844088,5542,4.65,4.20,3.751,18.987,0.065,5.56,-
474,10460984,6143,4.47,1.48,5.035,15.350,0.047,1.49,-
477,10934674,5039,4.51,2.20,16.543,25.278,0.185,9.54,-
478,10990886,3727,4.38,2.64,11.023,34.192,0.253,8.38,-
480,11134879,5324,4.51,2.50,4.302,20.845,0.011,10.00,-
492,3559935,5373,4.26,3.00,29.912,29.609,0.205,4.10,-
496,4454752,5237,4.32,1.80,1.617,14.889,0.005,26.02,-
500,4852528,4250,4.52,1.17,0.987,25.567,0.252,10.07,-
503,5340644,4110,4.55,2.13,8.222,30.724,0.212,4.60,-
505,5689351,4985,4.24,3.42,3.251,25.433,0.089,6.82,-
507,5812960,5117,4.41,3.30,18.492,12.455,0.005,15.10,-
509,6381846,5437,4.57,2.27,4.167,21.506,0.138,8.14,-
510,6422155,5355,4.39,2.30,2.940,23.287,0.199,3.37,-
511,6451936,5802,4.40,1.58,4.264,14.998,0.581,3.02,-
517,8015907,5510,4.31,3.40,2.752,19.317,0.077,9.07,-
520,8037145,5048,4.46,1.40,5.433,34.160,0.075,5.70,-
525,9119458,5524,4.28,5.00,11.532,21.289,0.131,3.82,-
530,10266615,5517,4.84,2.10,10.940,24.081,0.190,4.23,-
531,10395543,3898,4.75,3.00,3.687,46.658,0.167,4.94,-
538,11090765,5923,4.43,3.00,21.217,17.233,0.354,1.34,-
550,4165473,5635,4.67,2.50,13.024,22.588,1.632,4.66,-
554,5443837,5835,4.64,7.70,3.658,4.129,0.003,11.02,E
560,6501635,5142,4.83,2.60,23.675,15.855,0.054,24.79,-
569,8008206,5039,4.55,1.28,1.633,31.780,0.665,2.72,-
571,8120608,3820,4.75,1.32,3.887,34.404,0.075,8.23,-
579,8616637,5074,4.60,1.51,2.020,29.985,0.172,5.91,-
581,8822216,5514,4.86,3.06,6.997,18.139,0.051,6.53,-
582,9020160,5103,4.65,1.38,9.940,21.246,0.009,11.13,-
586,9570741,5707,4.67,2.30,15.780,26.991,3.620,2.36,-
588,9631762,4431,4.46,2.08,10.356,20.965,0.053,10.66,-
590,9782691,6106,4.55,2.46,11.389,13.302,0.411,1.99,-
593,9958962,5737,4.62,2.35,9.998,15.084,0.025,10.36,-
596,10388286,3626,4.83,1.37,1.683,37.726,0.193,12.29,-
598,10656823,5171,4.81,2.41,8.308,25.828,0.024,6.90,-
599,10676824,5820,4.54,2.70,6.455,20.082,2.279,1.86,-
601,10973664,5862,4.58,1.62,1.208,11.004,0.004,16.75,-
605,4832837,4270,4.76,1.78,2.628,28.490,0.064,8.88,-
607,5441980,5497,4.61,7.20,5.894,13.147,0.118,12.98,E
610,5686174,4072,4.53,1.79,14.282,37.030,0.236,5.75,-
