# Title: Measuring the Rotation Period Distribution of Field M-dwarfs with Kepler
# Authors: A. McQuillan, S. Aigrain and T. Mazeh
#
# Table 2. M-dwarfs with detected rotation periods.
#
KID,Teff,logg,Mass,Period,Period_Err,Amplitude,Flag
1162635,3899,4.62,0.5037,15.509,0.064,10.7,NF
1430893,3956,4.41,0.5260,17.144,0.046,10.4,NF
1572802,3990,4.48,0.5394,0.368,0.000,74.8,PB
1721911,3833,4.58,0.4781,28.403,0.394,3.9,NF
1866535,3878,4.50,0.4955,25.052,0.136,4.0,NF
1866986,3832,4.52,0.4777,35.585,0.516,6.5,NF
1870952,3947,4.69,0.5225,24.428,0.081,7.1,NF
1873543,3702,4.52,0.4282,11.351,0.051,14.0,NF
1996399,3802,4.49,0.4661,27.034,0.106,6.3,NF
2142372,3801,4.72,0.4658,18.646,0.092,7.0,NF
2157356,3813,4.51,0.4704,12.924,0.101,11.7,NF
2162907,3924,4.61,0.5135,52.974,12.451,9.1,NF
2164791,0,-inf,0.0000,3.351,0.000,9.9,PB
2167693,3888,4.67,0.4994,17.328,0.080,5.5,NF
2285598,3951,4.49,0.5241,37.506,0.140,3.3,NF
2300039,3644,4.29,0.4066,1.716,0.000,12.6,PB
2301872,3968,4.42,0.5307,22.988,0.183,1.7,NF
2302851,3984,4.47,0.5371,12.178,0.025,11.6,NF
2302997,3939,4.47,0.5193,25.419,0.121,11.3,NF
2423549,3862,4.47,0.4893,40.091,10.625,7.6,NF
2441562,3806,4.46,0.4677,10.084,0.005,20.7,NF
2441891,3850,4.56,0.4846,15.775,0.107,6.8,NF
2443935,3940,4.67,0.5197,34.185,0.446,9.1,NF
2554730,3602,4.21,0.3911,46.017,16.905,16.1,NF
2556650,3853,4.73,0.4858,28.730,0.333,7.3,PL
2557350,3815,4.71,0.4711,18.799,0.074,8.5,NF
2570277,3836,4.65,0.4792,47.386,22.945,4.8,HM
2570846,3865,4.61,0.4904,10.922,0.010,35.8,NF
2574427,3972,4.57,0.5323,13.425,0.081,5.7,NF
2577743,3511,4.06,0.3583,31.754,0.254,15.3,NF
2581298,3868,4.59,0.4916,17.266,0.132,8.5,NF
2692704,3624,4.10,0.3992,14.804,0.136,27.2,NF
2692708,3531,4.05,0.3654,29.997,0.136,20.1,NF
2692772,3904,4.45,0.5056,27.933,0.136,5.9,NF
2695622,3870,4.39,0.4924,15.959,0.032,12.4,NF
2714000,3877,4.57,0.4951,27.156,0.045,8.0,NF
2718935,3898,4.48,0.5033,34.390,0.341,5.0,NF
2832398,3906,4.38,0.5064,14.978,0.040,10.8,NF
2832720,3703,4.45,0.4286,22.314,0.359,13.2,NF
2834564,3648,4.36,0.4080,21.598,0.348,15.5,NF
2834612,3870,4.31,0.4924,13.282,0.126,17.8,NF
2835393,3892,4.59,0.5009,14.957,0.010,14.4,NF
2836098,3996,4.40,0.5418,28.444,0.000,7.2,NF
2847357,3834,4.42,0.4784,32.408,0.079,7.9,HM
2859114,3690,4.28,0.4237,37.496,17.171,5.5,NF
2969839,3818,4.73,0.4723,17.992,0.126,10.1,HM
2971272,3844,4.67,0.4823,17.011,0.017,7.3,NF
2973500,3679,4.36,0.4196,19.678,0.025,9.2,NF
2986833,3847,4.53,0.4835,30.947,0.245,10.4,NF
2988458,3729,4.51,0.4383,17.348,0.086,9.5,NF
2992668,3726,4.52,0.4372,15.223,0.131,19.6,NF
2998208,3715,4.46,0.4331,22.579,0.183,10.6,NF
3099533,3672,4.40,0.4170,38.088,17.150,7.9,HM
3099900,3811,4.41,0.4696,18.125,0.023,12.7,NF
3102763,3662,4.58,0.4132,14.365,0.040,18.4,NF
3103752,3535,4.16,0.3668,4.720,0.015,27.8,PB
3109825,3832,4.38,0.4777,13.558,0.056,33.9,NF
3109945,3726,4.36,0.4372,45.628,13.114,7.1,NF
3115879,3965,4.63,0.5296,34.196,0.359,3.4,NF
3116544,3858,4.26,0.4877,42.768,20.029,2.6,NF
3120913,3908,4.57,0.5072,34.247,0.105,10.9,NF
3218308,3920,4.28,0.5119,39.253,11.614,3.0,NF
3218997,3677,4.57,0.4188,38.660,15.565,11.1,NF
